gene,log2fc,p_value,mean_active,mean_latent,p_adj,significant
SPTAN1,-0.6825913870699186,3.0127990100920694e-21,599.6062690721649,962.3801289156626,6.134522292087468e-19,True
FBXL5,0.6994240872488336,3.4739915353892256e-21,4579.403865979381,2820.079272289156,6.954697508199791e-19,True
SAT1,0.6053826109821808,3.448898174395094e-21,18302.131546391753,12029.936855421687,6.954697508199791e-19,True
SNORD104,-0.715294402221243,3.560597375162669e-21,247.82631340206186,406.88575662650607,7.010257129628121e-19,True
CLSTN1,-0.6010789896764357,3.55270622844277e-21,1516.442519587629,2300.216734939759,7.010257129628121e-19,True
PSTPIP2,1.3105335753498368,4.069789336324848e-21,2981.95566185567,1202.2402542168675,7.947097652398924e-19,True
CYTH1,-0.3951474644028018,4.3085338098248694e-21,2092.901536082474,2752.3270361445784,8.344894386297387e-19,True
ATPGD1,-1.095171852439689,5.073713461036082e-21,171.63349567010312,366.67527457831324,9.747667401795369e-19,True
CD36,1.2299920297666411,5.117126201768757e-21,1975.08149814433,842.016351445783,9.752423800378968e-19,True
SKAP1,-0.6830084300993391,5.708288554684389e-21,2318.644720618556,3722.547368674699,1.0792742717321128e-18,True
TICAM2,0.6788122115971554,5.839354993380956e-21,611.9603319587628,382.2789939759036,1.0953618425772795e-18,True
EBF1,-2.2285667708595036,5.913789814134287e-21,31.649735517525773,148.33223159036146,1.1006579276728212e-18,True
VAMP5,1.2909760633826348,6.387929254338133e-21,5430.811247422682,2219.433771084337,1.1706126048161334e-18,True
SPIB,-1.360794128548254,6.37776567044307e-21,161.92596907216497,415.86881554216876,1.1706126048161334e-18,True
BCL11A,-0.7050370533138085,6.530770338102346e-21,1131.713649484536,1844.90435060241,1.1876529905695587e-18,True
OSBPL10,-1.9315153455965268,6.849309496098799e-21,59.3348813814433,226.33625963855422,1.2361446979209217e-18,True
LOC88523,0.8695934597499911,6.902935928307963e-21,2260.3086927835047,1237.0693301204817,1.2364559595494783e-18,True
PRPF8,-0.5432908654092587,7.226284461647738e-21,2226.3174123711337,3244.396542168675,1.2847147367898063e-18,True
P2RY13,0.6825635153984037,8.76836704449792e-21,8966.66150515464,5586.7428674698795,1.5473245044523995e-18,True
