"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"ILMN_2200714",0.149859721864178,6.10922945496524,2.95662215757747,0.00351848667930532,0.0153930734641055,-2.76813034733384,"OR4F3"
"ILMN_1719163",0.172073676710024,8.8711648140876,2.95654411959393,0.00351933616614399,0.0153952609190476,-2.7683500071525,"ZNF557"
"ILMN_3239621",0.145225076754301,8.42063781836576,2.95630073077123,0.00352198679737422,0.0154053262249163,-2.76903505950931,"SNRNP27"
"ILMN_3206101",-0.110162392945177,6.32433183989995,-2.95581275229398,0.00352730665478034,0.0154270636864306,-2.77040838979322,"LOC728026"
"ILMN_1665730",0.206707884188839,8.43055823188069,2.95563376338949,0.00352925980795757,0.0154333990888392,-2.7709120712073,"ABCB10"
"ILMN_3307854",0.115918504728931,6.9179904958537,2.95561579715307,0.00352945591294106,0.0154333990888392,-2.7709626273324,"PART1"
"ILMN_1660439",-0.187580294680901,8.96991901272547,-2.95557507028922,0.00352990049163407,0.0154338110726524,-2.77107722973451,"LOC651149"
"ILMN_3244483",-0.162002724463142,6.96998216161639,-2.95511447007421,0.00353493202840915,0.0154542765763648,-2.7723732250255,"LOC100134571"
"ILMN_1725366",-0.127559263595475,6.76188506499241,-2.95468991046546,0.00353957568799224,0.0154730424364142,-2.7735676499764,"SLC27A5"
"ILMN_2086095",-0.240670985500955,11.3309943190288,-2.95447366077681,0.00354194308893745,0.0154818550318301,-2.77417597109748,"ID2"
"ILMN_1696266",-0.121314047823728,7.3985688721321,-2.95405575625719,0.00354652222888017,0.0155003324441314,-2.77535144265102,"XRCC3"
"ILMN_1674394",0.190251416142361,10.8201577068562,2.95329288034635,0.00355489535848246,0.0155353864520348,-2.77749685160834,"C20orf3"
"ILMN_1748650",-0.180287196961391,9.40071714341056,-2.95315120042011,0.00355645239575982,0.0155406491901216,-2.77789523761926,"MRPL45"
"ILMN_1794492",0.256358607115793,7.84878535172618,2.95305381134038,0.00355752304720601,0.0155437857322428,-2.77816907330684,"HOXC6"
"ILMN_1701374",-0.141886219924756,7.12768947803244,-2.95296187551355,0.00355853401929872,0.0155466609227539,-2.7784275681722,"NUP35"
"ILMN_3238006",-0.131101664375651,9.68869664975665,-2.95205984150378,0.00356846721885803,0.0155885114496147,-2.78096341854287,"LOC730323"
"ILMN_2304512",0.130903318400084,6.08473899955303,2.95190577691105,0.00357016631864458,0.0155931820539471,-2.7813964634785,"SAA1"
"ILMN_1658695",0.108549309074075,6.5819400492159,2.95189870240395,0.00357024435758802,0.0155931820539471,-2.78141634801804,"NUF2"
"ILMN_1788062",0.147554703752624,8.88735112164323,2.95165769020331,0.00357290389973744,0.01560325068775,-2.78209374272,"SH3GL1"
"ILMN_1691578",0.132179068728787,9.02870256223532,2.95156398441826,0.00357393842282963,0.0156062213981035,-2.78235710088874,"GTF3C6"
"ILMN_2191402",-0.241264750406233,5.21946297544681,-2.95120082145874,0.00357795038131136,0.0156221917184207,-2.78337769108189,"HLCS"
"ILMN_2235851",-0.113134874649565,6.46315623180064,-2.95027852895085,0.0035881577642547,0.0156652069051718,-2.78596907980688,"LINCR"
"ILMN_2175020",-0.122334028435617,7.24686193771798,-2.95002525885395,0.00359096547623652,0.0156752352540196,-2.786680570413,"RPL32P3"
"ILMN_2045911",0.158491571403792,8.59579072218605,2.95000713511825,0.00359116647030865,0.0156752352540196,-2.78673148178707,"FBXO28"
"ILMN_3201453",-0.184717193792411,9.5277468230331,-2.94979500588585,0.0035935197722207,0.0156839531839982,-2.78732735273923,"LOC644363"
"ILMN_1696883",0.154277128343365,8.73043739289108,2.94963042949454,0.00359534651038402,0.0156903714215303,-2.78778962094691,"THOC2"
"ILMN_1689869",-0.120177467439953,7.57326465645102,-2.94883653763438,0.00360417038867763,0.0157273214256204,-2.79001920425679,"GPR89C"
"ILMN_1652434",0.124768869509917,6.77346537208267,2.94745403166145,0.00361958395656875,0.01579301633031,-2.793900562182,"MTHFD2L"
"ILMN_1720048",-0.269896260568546,5.90886283174716,-2.94711746991684,0.00362334542204041,0.0158078626509163,-2.79484520215114,"CCL2"
"ILMN_1758229",0.175108938502335,6.18423315244545,2.94630699861065,0.00363241808463127,0.0158458753264104,-2.79711957876568,"QSOX1"
"ILMN_1681324",-0.149841391350153,8.59594491474004,-2.94609323556041,0.00363481448203888,0.0158547591591539,-2.79771935431414,"MRPL49"
"ILMN_1808115",0.22079766244442,7.19368253919759,2.94563660638407,0.0036399383937233,0.0158755372457332,-2.79900043019542,"ATP7A"
"ILMN_3223500",-0.229726436655847,12.5995904936426,-2.94553833404304,0.00364104198953151,0.0158787784061828,-2.79927611022874,"LOC728903"
"ILMN_3264100",0.120612551899105,6.12445215250996,2.94548959736883,0.00364158941488611,0.0158795936760194,-2.79941282645046,"LOC100130564"
"ILMN_1669508",-0.134078859666937,10.3559723467072,-2.94532688488592,0.00364341759820953,0.0158859931326069,-2.79986925295785,"PAF1"
"ILMN_1773764",-0.14015797064641,7.31589676809561,-2.9449096894807,0.00364810891219249,0.0159048738807395,-2.8010394274659,"CECR7"
"ILMN_1765522",-0.117208024785079,6.64821784304569,-2.94466170442627,0.00365090009893563,0.0159154676158549,-2.80173491929572,"PPM1G"
"ILMN_2083333",-0.167153117649907,8.39736281278359,-2.94441042123987,0.00365373040457697,0.0159262297696438,-2.8024396066571,"PMS2L5"
"ILMN_1743898",0.140642008236228,5.65613054409782,2.94393268710013,0.0036591168682479,0.0159481307176401,-2.80377919218566,"FBXO17"
"ILMN_1743287",-0.155725872797381,6.9143505778308,-2.9438440614469,0.00366011692471005,0.015950911223823,-2.80402768031002,"LOC644012"
"ILMN_1732767",-0.116983253240361,7.22687369300045,-2.94351172521315,0.00366386925581109,0.015965684497748,-2.80495942226028,"PSMD9"
"ILMN_1714170",-0.148744761838316,7.10200492109241,-2.94320005185773,0.00366739149120304,0.0159794522827878,-2.8058331466015,"SPSB1"
"ILMN_1759883",0.124734968188695,7.24138772259331,2.94288936024412,0.00367090572096222,0.0159922766772302,-2.80670403506676,"SRP9"
"ILMN_2407824",0.155022767787977,7.87147327784043,2.94287565111862,0.00367106085582965,0.0159922766772302,-2.80674246069669,"ATP1B1"
"ILMN_2154101",-0.165250660628758,7.91588315108667,-2.94284066725159,0.00367145676663833,0.0159924198583195,-2.80684051706185,"UPRT"
"ILMN_1776267",-0.192212842649959,6.99551791362997,-2.9424600260756,0.00367576699566975,0.016009611620155,-2.80790734862544,"CLN6"
"ILMN_1739001",0.464346083883549,6.62963042149181,2.94231360773296,0.00367742621355339,0.0160152547833159,-2.80831768518202,"TACSTD2"
"ILMN_1776213",-0.175076462781544,6.38476909844389,-2.94159287901977,0.00368560354850261,0.0160492805372764,-2.81033725258021,"RGMB"
"ILMN_1777286",-0.451694155979609,9.51134358852015,-2.94122171236809,0.00368982127682663,0.016066058818374,-2.81137713008324,"LOC388344"
"ILMN_1761917",-0.271863198008737,5.03648529081794,-2.94115970845083,0.00369052628544772,0.0160675403637337,-2.81155083146795,"LCN8"
"ILMN_2066348",0.197243947087671,8.87034813531618,2.94070518289407,0.00369569818876787,0.016088467330113,-2.81282406415378,"HERPUD2"
"ILMN_1786532",0.19618616628919,9.01608754659441,2.94059602273,0.00369694127684148,0.0160908698362465,-2.81312982072564,"CNIH"
"ILMN_1723092",-0.142358770490101,7.54073905852763,-2.94059256777106,0.00369698062728771,0.0160908698362465,-2.81313949786394,"CRB3"
"ILMN_1759359",0.139142690842931,9.36646451470024,2.94028581912017,0.00370047588857201,0.016104491539961,-2.81399864171688,"BTF3L4"
"ILMN_1813148",0.132189126171248,7.61965904227564,2.94012820198213,0.00370227304186776,0.0161107211071142,-2.81444006524296,"TOM1"
"ILMN_1805827",0.214525565448012,10.5679577650168,2.9397320691417,0.00370679328752039,0.0161287980154643,-2.81554938230111,"PPA1"
"ILMN_2247594",-0.0757841598336153,15.2828297276004,-2.93944665598406,0.00371005325271611,0.0161413882306565,-2.81634855943472,"RPLP1"
"ILMN_1669722",0.114386741524218,6.75634343462393,2.93939997931947,0.00371058663960447,0.0161421145626325,-2.81647925069999,"LRRC61"
"ILMN_1710216",-0.239794737634476,7.1382375078168,-2.9390585238786,0.00371449068149765,0.016157502617819,-2.81743524368766,"AVEN"
"ILMN_1752089",-0.13282656863744,6.04072073769044,-2.93891379177029,0.00371614661649663,0.0161631096567233,-2.81784042824838,"IL17RE"
"ILMN_1719498",-0.138197720871786,7.15783912458659,-2.93841601314588,0.00372184705703427,0.016186305134704,-2.81923384511977,"ABHD7"
"ILMN_1684341",0.145033295260063,7.39592238119535,2.93824573086044,0.00372379892747031,0.0161931951188544,-2.81971046196803,"CHTF8"
"ILMN_1704196",0.155007494464706,5.47126363254236,2.93780884905554,0.0037288110018678,0.0162133899361641,-2.8209331708413,"DSG2"
"ILMN_2399310",-0.230159151393878,7.63216620006875,-2.93767690553056,0.00373032592327929,0.0162183761593344,-2.82130241101583,"MLLT10"
"ILMN_3305628",0.138963434829008,7.06401638189201,2.93685830074076,0.00373973741954149,0.0162576900294308,-2.82359291595477,"LOC728678"
"ILMN_1703316",0.167217242461914,10.6238470509579,2.93678548821775,0.00374057559776734,0.0162597291945183,-2.82379662160838,"LOC255783"
"ILMN_1678705",-0.128600193469651,6.01511890251446,-2.93650156255037,0.0037438456405765,0.0162723378700577,-2.82459090899087,"FLJ35220"
"ILMN_2390453",-0.182694433613443,6.67713698368515,-2.93635506904697,0.00374553386713428,0.0162780694930083,-2.82500069999614,"BCKDHB"
"ILMN_1664068",0.230685575313245,9.83186753829743,2.93618934471695,0.00374744455535187,0.016284766706896,-2.82546426359435,"ERGIC1"
"ILMN_2134416",0.198918520555742,4.85044691298702,2.93611146813068,0.00374834272757952,0.0162870630787735,-2.82568209152777,"DNAH12L"
"ILMN_3262348",-0.285909870804681,8.00115770675071,-2.93516710644022,0.00375925002313812,0.0163328457213983,-2.8283231392391,"IP6K2"
"ILMN_1696051",0.133592779994026,5.77752152585725,2.93494056809933,0.00376187084268665,0.0163426205612613,-2.82895657241153,"SNX11"
"ILMN_1728512",0.124383122836578,12.6593012908719,2.93451317619324,0.00376681989420228,0.0163625069677058,-2.83015149938573,"YWHAH"
"ILMN_1654210",-0.197504943173985,6.84141961190238,-2.93435986429132,0.00376859664671304,0.0163686108148645,-2.83058009907424,"CD1C"
"ILMN_1796165",0.264055182248024,14.2341832128293,2.93355280788709,0.00377796240046001,0.0164076724541717,-2.83283597498651,"GLRX5"
"ILMN_1679897",0.180507145805882,7.31569229021304,2.93301927738755,0.00378416563611576,0.016432992945242,-2.83432698406868,"IGFL3"
"ILMN_3309529",-0.131463237023983,6.01908811856281,-2.93291288526974,0.0037854037480791,0.0164367491874453,-2.83462427891989,"MIR2276"
"ILMN_1751161",0.152299856718279,7.02208875527571,2.93207630195991,0.00379515221996841,0.0164767779391398,-2.83696162812746,"COL7A1"
"ILMN_1708890",0.148682477047145,6.79600607049629,2.93205759268224,0.00379537049666187,0.0164767779391398,-2.83701389346946,"RASSF4"
"ILMN_1684553",-0.134636199055485,7.06561431672855,-2.9319457381796,0.00379667571649243,0.0164808200618061,-2.83732635852029,"RHOH"
"ILMN_1770203",-0.123636020906364,6.84579887998987,-2.93184954438532,0.00379779852184514,0.016484069631077,-2.83759506677769,"TUBGCP6"
"ILMN_1716445",-0.17264338365894,7.63647495016421,-2.93180706412643,0.00379829446211425,0.0164845979655759,-2.83771372880569,"LOC727761"
"ILMN_1760542",-0.156974419080266,7.78250001158519,-2.93138940825317,0.00380317358996137,0.0165026520596809,-2.83888030253678,"PSMA1"
"ILMN_3277297",-0.336991365648323,8.54991361903337,-2.9313868371566,0.00380320364372841,0.0165026520596809,-2.83888748351589,"LOC391825"
"ILMN_2096747",-0.135277270459512,7.15608082482499,-2.93117743758571,0.00380565206373593,0.0165116496660723,-2.83947230965365,"SNORA33"
"ILMN_3243914",0.118714439715225,6.16489530753578,2.93100062203709,0.00380772061699951,0.0165189975280131,-2.83996610319442,"LOC100124692"
"ILMN_2322996",-0.127739105690566,6.42359486951355,-2.93071760800379,0.00381103372310295,0.0165317426426793,-2.84075642128307,"EYA2"
"ILMN_3246949",-0.118095659646881,6.3234230449381,-2.9300374240907,0.00381900710481838,0.0165633616341134,-2.84265555420452,"LOC100134713"
"ILMN_1745343",0.251541810026804,10.5990726070203,2.93003165460169,0.0038190748023357,0.0165633616341134,-2.84267166140624,"ZMAT2"
"ILMN_3178621",0.114499100557963,6.60775019978407,2.929141975105,0.0038295272090669,0.0166070587799376,-2.84515511432838,"LOC100129887"
"ILMN_1684730",-0.126703252598558,5.97263843207436,-2.92881251296479,0.00383340454175027,0.0166209336594058,-2.84607460138044,"LOC441135"
"ILMN_1777476",0.175341088555511,6.42148847768327,2.92877928017435,0.00383379584723233,0.0166209336594058,-2.84616734465788,"SPDYC"
"ILMN_1803953",0.15934820937531,9.99824997394109,2.92877394767186,0.00383385863915059,0.0166209336594058,-2.84618222606831,"LOC388789"
"ILMN_3251137",-0.216522957954669,7.5507907876261,-2.92841349904373,0.00383810522134933,0.0166377064658197,-2.84718807259848,"FAM119A"
"ILMN_3238053",-0.244403641776472,12.2349545027661,-2.92760235273784,0.00384767740601413,0.0166768544325292,-2.84945119721429,"LOC100129211"
"ILMN_1673798",-0.129401250605502,9.23400553015209,-2.92758407788523,0.0038478933157528,0.0166768544325292,-2.84950217807554,"PPOX"
